"Country","Code"
"Afghanistan",1
"Albania",2
"Algeria",3
"Andorra",4
"Angola",5
"Antigua & Barbuda",6
"Argentina",7
"Armenia",8
"Australia",9
"Austria",10
"Azerbaijan",11
"Bahamas",12
"Bahrain",13
"Bangladesh",14
"Barbados",15
"Belarus",16
"Belgium",17
"Belize",18
"Benin",19
"Bhutan",20
"Bolivia",21
"Bosnia & Herzegovina",22
"Botswana",23
"Brazil",24
"Brunei",25
"Bulgaria",26
"Burkina Faso",27
"Burundi",28
"Cabo Verde",29
"Cambodia",30
"Cameroon",31
"Canada",32
"Central African Republic",33
"Chad",34
"Chile",35
"China",36
"Colombia",37
"Comoros",38
"Congo",39
"Costa Rica",40
"Côte d'Ivoire",41
"Croatia",42
"Cuba",43
"Cyprus",44
"Czech Republic",45
"Denmark",46
"Djibouti",47
"Dominica",48
"Dominican Republic",49
"DR Congo",50
"Ecuador",51
"Egypt",52
"El Salvador",53
"Equatorial Guinea",54
"Eritrea",55
"Estonia",56
"Eswatini",57
"Ethiopia",58
"Fiji",59
"Finland",60
"France",61
"Gabon",62
"Gambia",63
"Georgia",64
"Germany",65
"Ghana",66
"Greece",67
"Grenada",68
"Guatemala",69
"Guinea",70
"Guinea-Bissau",71
"Guyana",72
"Haiti",73
"Holy See",74
"Honduras",75
"Hungary",76
"Iceland",77
"India",78
"Indonesia",79
"Iran",80
"Iraq",81
"Ireland",82
"Israel",83
"Italy",84
"Jamaica",85
"Japan",86
"Jordan",87
"Kazakhstan",88
"Kenya",89
"Kiribati",90
"Kuwait",91
"Kyrgyzstan",92
"Laos",93
"Latvia",94
"Lebanon",95
"Lesotho",96
"Liberia",97
"Libya",98
"Liechtenstein",99
"Lithuania",100
"Luxembourg",101
"Madagascar",102
"Malawi",103
"Malaysia",104
"Maldives",105
"Mali",106
"Malta",107
"Marshall Islands",108
"Mauritania",109
"Mauritius",110
"Mexico",111
"Micronesia",112
"Moldova",113
"Monaco",114
"Mongolia",115
"Montenegro",116
"Morocco",117
"Mozambique",118
"Myanmar",119
"Namibia",120
"Nauru",121
"Nepal",122
"Netherlands",123
"New Zealand",124
"Nicaragua",125
"Niger",126
"Nigeria",127
"North Korea",128
"North Macedonia",129
"Norway",130
"Oman",131
"Pakistan",132
"Palau",133
"Panama",134
"Papua New Guinea",135
"Paraguay",136
"Peru",137
"Philippines",138
"Poland",139
"Portugal",140
"Qatar",141
"Romania",142
"Russia",143
"Rwanda",144
"Saint Kitts & Nevis",145
"Saint Lucia",146
"Samoa",147
"San Marino",148
"Sao Tome & Principe",149
"Saudi Arabia",150
"Senegal",151
"Serbia",152
"Seychelles",153
"Sierra Leone",154
"Singapore",155
"Slovakia",156
"Slovenia",157
"Solomon Islands",158
"Somalia",159
"South Africa",160
"South Korea",161
"South Sudan",162
"Spain",163
"Sri Lanka",164
"St. Vincent & Grenadines",165
"State of Palestine",166
"Sudan",167
"Suriname",168
"Sweden",169
"Switzerland",170
"Syria",171
"Tajikistan",172
"Tanzania",173
"Thailand",174
"Timor-Leste",175
"Togo",176
"Tonga",177
"Trinidad & Tobago",178
"Tunisia",179
"Turkey",180
"Turkmenistan",181
"Tuvalu",182
"Uganda",183
"Ukraine",184
"United Arab Emirates",185
"United Kingdom",186
"United States",187
"Uruguay",188
"Uzbekistan",189
"Vanuatu",190
"Venezuela",191
"Vietnam",192
"Yemen",193
"Zambia",194
"Zimbabwe",195
